"        No second mortgage and no home equity loan","184,522","82.1%","124","87.9%","5,458","87.3%","25,836","84.6%","7,474","89.6%","2,583","92.6%","153,733","80.6%","2,808","89.9%","31,787","84.4%","99,588","88.7%","2,978","87.1%","15,192","85.8%","15,395","90.6%","2,087","85.9%","98,051","90.1%","13,981","91.2%","7,638","88.0%","3,157","89.5%","923,316","84.4%","17,058","90.2%","34,943","72.6%","2,240","86.4%","9,568","87.6%","25,393","91.6%","1,223","93.4%","1,708","93.6%","37,384","86.3%","16,486","80.0%","16,111","83.9%","346,576","82.0%","61,634","85.1%","2,803","80.5%","297,499","88.5%","184,638","85.1%","7,327","85.2%","239,670","88.1%","355,611","82.7%","71,796","80.1%","78,709","86.8%","36,445","84.9%","86,487","77.5%","42,045","83.8%","206,636","80.8%","29,749","77.4%","24,048","88.0%","411","81.5%","5,358","85.6%","58,756","85.8%","61,779","79.7%","61,078","88.4%","10,563","87.3%","8,835","88.8%","1,633","94.8%","50,067","92.1%","7,954","85.3%","105,924","84.2%","22,343","85.0%","9,248","89.1%"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $10,000","2,899","1.3%","0","0.0%","144","2.3%","662","2.2%","217","2.6%","50","1.8%","2,460","1.3%","35","1.1%","720","1.9%","2,308","2.1%","141","4.1%","568","3.2%","840","4.9%","68","2.8%","2,928","2.7%","273","1.8%","375","4.3%","30","0.9%","21,944","2.0%","663","3.5%","583","1.2%","75","2.9%","211","1.9%","718","2.6%","69","5.3%","4","0.2%","873","2.0%","253","1.2%","313","1.6%","7,256","1.7%","1,323","1.8%","69","2.0%","9,539","2.8%","4,063","1.9%","50","0.6%","5,834","2.1%","8,640","2.0%","1,334","1.5%","1,789","2.0%","865","2.0%","1,501","1.3%","623","1.2%","2,982","1.2%","708","1.8%","662","2.4%","0","0.0%","295","4.7%","1,206","1.8%","1,308","1.7%","1,218","1.8%","230","1.9%","259","2.6%","41","2.4%","1,636","3.0%","179","1.9%","1,700","1.4%","487","1.9%","160","1.5%"
"        $10,000 to $24,999","6,505","2.9%","19","13.5%","503","8.0%","2,317","7.6%","541","6.5%","204","7.3%","5,713","3.0%","389","12.5%","1,903","5.1%","6,873","6.1%","339","9.9%","1,249","7.1%","1,508","8.9%","173","7.1%","7,182","6.6%","999","6.5%","967","11.1%","177","5.0%","50,859","4.6%","1,234","6.5%","1,377","2.9%","214","8.2%","936","8.6%","2,137","7.7%","137","10.5%","30","1.6%","1,400","3.2%","862","4.2%","1,243","6.5%","13,721","3.2%","3,104","4.3%","273","7.8%","19,389","5.8%","10,201","4.7%","235","2.7%","16,977","6.2%","14,653","3.4%","2,581","2.9%","4,693","5.2%","2,050","4.8%","2,957","2.6%","1,716","3.4%","6,268","2.5%","1,080","2.8%","1,886","6.9%","67","13.3%","546","8.7%","2,358","3.4%","3,079","4.0%","3,538","5.1%","598","4.9%","1,163","11.7%","226","13.1%","5,282","9.7%","602","6.5%","4,008","3.2%","679","2.6%","630","6.1%"
"        $25,000 to $34,999","5,672","2.5%","7","5.0%","351","5.6%","1,817","5.9%","569","6.8%","144","5.2%","5,431","2.8%","190","6.1%","1,519","4.0%","7,785","6.9%","104","3.0%","1,147","6.5%","1,187","7.0%","84","3.5%","7,385","6.8%","1,091","7.1%","735","8.5%","176","5.0%","45,829","4.2%","1,063","5.6%","1,326","2.8%","151","5.8%","816","7.5%","1,787","6.4%","223","17.0%","40","2.2%","1,717","4.0%","578","2.8%","1,078","5.6%","12,989","3.1%","2,447","3.4%","209","6.0%","18,926","5.6%","9,467","4.4%","237","2.8%","14,885","5.5%","14,209","3.3%","1,992","2.2%","4,395","4.8%","1,468","3.4%","2,362","2.1%","2,076","4.1%","5,184","2.0%","1,131","2.9%","1,730","6.3%","36","7.1%","573","9.2%","2,241","3.3%","2,800","3.6%","3,974","5.8%","545","4.5%","983","9.9%","211","12.2%","4,401","8.1%","528","5.7%","4,251","3.4%","914","3.5%","525","5.1%"
"        $35,000 to $49,999","9,631","4.3%","16","11.3%","657","10.5%","3,544","11.6%","996","11.9%","306","11.0%","10,903","5.7%","255","8.2%","2,477","6.6%","10,620","9.5%","438","12.8%","2,612","14.7%","1,856","10.9%","349","14.4%","12,544","11.5%","1,833","12.0%","1,061","12.2%","256","7.3%","82,052","7.5%","2,253","11.9%","1,888","3.9%","254","9.8%","1,146","10.5%","3,782","13.6%","146","11.1%","262","14.4%","3,427","7.9%","1,023","5.0%","2,155","11.2%","21,823","5.2%","4,370","6.0%","405","11.6%","30,997","9.2%","17,876","8.2%","677","7.9%","26,201","9.6%","27,071","6.3%","3,422","3.8%","7,649","8.4%","3,203","7.5%","3,818","3.4%","3,253","6.5%","9,235","3.6%","2,284","5.9%","3,369","12.3%","56","11.1%","897","14.3%","4,945","7.2%","4,816","6.2%","7,401","10.7%","1,194","9.9%","1,411","14.2%","152","8.8%","7,091","13.0%","993","10.6%","6,657","5.3%","1,583","6.0%","1,416","13.6%"
"        $50,000 to $74,999","20,159","9.0%","19","13.5%","1,104","17.6%","5,604","18.3%","1,394","16.7%","513","18.4%","21,282","11.2%","853","27.3%","5,191","13.8%","22,029","19.6%","857","25.1%","3,767","21.3%","3,352","19.7%","330","13.6%","21,539","19.8%","2,679","17.5%","1,531","17.6%","888","25.2%","155,229","14.2%","3,956","20.9%","3,739","7.8%","540","20.8%","2,512","23.0%","5,938","21.4%","306","23.4%","360","19.7%","6,546","15.1%","2,593","12.6%","3,104","16.2%","47,994","11.4%","9,655","13.3%","618","17.8%","58,285","17.3%","35,776","16.5%","1,095","12.7%","51,117","18.8%","55,275","12.9%","6,822","7.6%","15,817","17.5%","6,217","14.5%","8,536","7.6%","6,946","13.8%","19,817","7.7%","4,325","11.3%","5,730","21.0%","59","11.7%","1,378","22.0%","9,790","14.3%","10,239","13.2%","13,781","19.9%","2,370","19.6%","2,246","22.6%","320","18.6%","11,190","20.6%","1,983","21.3%","15,882","12.6%","3,616","13.7%","1,977","19.0%"
"        $75,000 to $99,999","23,305","10.4%","18","12.8%","1,007","16.1%","4,905","16.1%","1,359","16.3%","687","24.6%","22,203","11.6%","549","17.6%","4,955","13.2%","18,919","16.8%","554","16.2%","2,914","16.5%","2,859","16.8%","416","17.1%","16,820","15.5%","2,882","18.8%","1,589","18.3%","544","15.4%","151,495","13.8%","3,047","16.1%","4,045","8.4%","564","21.7%","1,643","15.0%","4,432","16.0%","179","13.7%","386","21.2%","7,060","16.3%","2,580","12.5%","2,922","15.2%","52,216","12.4%","9,569","13.2%","724","20.8%","53,224","15.8%","34,262","15.8%","1,378","16.0%","44,508","16.4%","59,950","13.9%","8,113","9.1%","14,742","16.3%","6,675","15.6%","10,098","9.0%","7,009","14.0%","21,707","8.5%","4,764","12.4%","4,466","16.3%","42","8.3%","909","14.5%","11,256","16.4%","11,669","15.1%","11,678","16.9%","2,116","17.5%","1,405","14.1%","301","17.5%","8,047","14.8%","1,694","18.2%","18,381","14.6%","3,723","14.2%","1,924","18.5%"
"        $100,000 to $149,999","48,835","21.7%","43","30.5%","1,574","25.2%","6,409","21.0%","1,773","21.3%","446","16.0%","42,559","22.3%","548","17.6%","8,802","23.4%","23,289","20.7%","629","18.4%","3,265","18.4%","3,340","19.7%","643","26.5%","22,504","20.7%","3,250","21.2%","1,540","17.7%","889","25.2%","244,884","22.4%","4,285","22.7%","8,794","18.3%","447","17.2%","2,277","20.9%","4,983","18.0%","209","16.0%","438","24.0%","9,912","22.9%","5,150","25.0%","4,287","22.3%","94,846","22.4%","18,093","25.0%","695","20.0%","75,307","22.4%","51,841","23.9%","2,382","27.7%","60,541","22.3%","104,151","24.2%","15,774","17.6%","21,120","23.3%","10,668","24.9%","21,127","18.9%","12,246","24.4%","47,769","18.7%","8,763","22.8%","5,007","18.3%","212","42.1%","1,109","17.7%","17,051","24.9%","18,833","24.3%","16,055","23.2%","2,868","23.7%","1,420","14.3%","344","20.0%","9,504","17.5%","1,965","21.1%","30,645","24.4%","6,432","24.5%","2,268","21.8%"
"        $150,000 or more","107,837","48.0%","19","13.5%","915","14.6%","5,295","17.3%","1,492","17.9%","440","15.8%","80,086","42.0%","303","9.7%","12,111","32.1%","20,511","18.3%","357","10.4%","2,192","12.4%","2,044","12.0%","367","15.1%","17,893","16.4%","2,324","15.2%","883","10.2%","566","16.1%","341,764","31.2%","2,413","12.8%","26,361","54.8%","349","13.5%","1,378","12.6%","3,930","14.2%","41","3.1%","304","16.7%","12,376","28.6%","7,566","36.7%","4,096","21.3%","171,862","40.7%","23,902","33.0%","487","14.0%","70,581","21.0%","53,542","24.7%","2,550","29.6%","51,923","19.1%","145,843","33.9%","49,588","55.3%","20,431","22.5%","11,778","27.4%","61,195","54.8%","16,324","32.5%","142,854","55.8%","15,383","40.0%","4,491","16.4%","32","6.3%","549","8.8%","19,625","28.7%","24,750","31.9%","11,459","16.6%","2,184","18.0%","1,057","10.6%","128","7.4%","7,205","13.3%","1,384","14.8%","44,205","35.2%","8,866","33.7%","1,481","14.3%"
"        Median household income (dollars)","145,617","145,617","84,688","84,688","84,069","84,069","80,665","80,665","82,036","82,036","80,913","80,913","130,516","130,516","70,562","70,562","108,369","108,369","83,735","83,735","66,957","66,957","72,408","72,408","73,567","73,567","86,848","86,848","79,106","79,106","79,868","79,868","67,009","67,009","88,259","88,259","106,304","106,304","77,087","77,087","162,935","162,935","77,351","77,351","73,275","73,275","73,176","73,176","52,500","52,500","89,965","89,965","102,519","102,519","119,814","119,814","89,973","89,973","127,472","127,472","114,714","114,714","81,600","81,600","89,101","89,101","97,404","97,404","109,338","109,338","86,090","86,090","114,512","114,512","165,421","165,421","92,833","92,833","103,898","103,898","163,374","163,374","111,634","111,634","165,713","165,713","125,206","125,206","76,272","76,272","92,115","92,115","63,318","63,318","105,172","105,172","112,023","112,023","83,647","83,647","88,410","88,410","61,608","61,608","72,192","72,192","68,353","68,353","80,344","80,344","117,259","117,259","114,402","114,402","80,251","80,251"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","14,050","6.2%","8","5.7%","1,161","18.6%","6,184","20.2%","1,545","18.5%","787","28.2%","16,728","8.8%","880","28.2%","4,228","11.2%","29,854","26.6%","549","16.1%","1,970","11.1%","5,808","34.2%","493","20.3%","34,606","31.8%","5,007","32.7%","2,003","23.1%","1,527","43.3%","83,299","7.6%","4,989","26.4%","2,887","6.0%","484","18.7%","1,187","10.9%","7,110","25.7%","408","31.1%","371","20.3%","4,032","9.3%","1,624","7.9%","2,168","11.3%","26,712","6.3%","8,533","11.8%","866","24.9%","49,270","14.7%","37,397","17.2%","568","6.6%","47,237","17.4%","31,602","7.4%","5,182","5.8%","17,347","19.1%","3,232","7.5%","5,034","4.5%","4,370","8.7%","13,694","5.4%","2,709","7.0%","6,495","23.8%","128","25.4%","1,779","28.4%","10,552","15.4%","5,741","7.4%","14,217","20.6%","3,139","25.9%","2,365","23.8%","154","8.9%","15,939","29.3%","1,765","18.9%","8,632","6.9%","4,025","15.3%","2,608","25.1%"
"        2.0 to 2.9","30,841","13.7%","25","17.7%","1,385","22.1%","7,707","25.2%","1,792","21.5%","643","23.0%","32,417","17.0%","621","19.9%","8,222","21.8%","30,577","27.2%","818","23.9%","3,270","18.5%","3,962","23.3%","590","24.3%","28,604","26.3%","4,684","30.6%","2,012","23.2%","950","26.9%","150,102","13.7%","4,584","24.2%","4,868","10.1%","507","19.5%","1,886","17.3%","6,665","24.1%","243","18.5%","277","15.2%","7,145","16.5%","2,779","13.5%","3,050","15.9%","52,653","12.5%","15,868","21.9%","815","23.4%","75,406","22.4%","55,463","25.6%","1,602","18.6%","58,992","21.7%","68,205","15.9%","8,292","9.3%","22,387","24.7%","5,933","13.8%","8,108","7.3%","8,014","16.0%","25,463","10.0%","4,641","12.1%","6,556","24.0%","117","23.2%","1,314","21.0%","16,413","24.0%","10,007","12.9%","18,132","26.2%","3,064","25.3%","1,901","19.1%","438","25.4%","13,293","24.5%","2,087","22.4%","19,575","15.6%","5,840","22.2%","3,149","30.3%"
"        3.0 to 3.9","40,358","17.9%","8","5.7%","834","13.3%","5,448","17.8%","1,342","16.1%","372","13.3%","35,855","18.8%","431","13.8%","7,038","18.7%","18,695","16.6%","694","20.3%","3,148","17.8%","2,449","14.4%","392","16.1%","16,146","14.8%","2,005","13.1%","1,196","13.8%","374","10.6%","178,809","16.3%","2,630","13.9%","6,943","14.4%","415","16.0%","1,712","15.7%","4,316","15.6%","222","16.9%","367","20.1%","7,469","17.2%","3,479","16.9%","2,951","15.4%","72,541","17.2%","15,215","21.0%","445","12.8%","62,984","18.7%","42,508","19.6%","1,461","17.0%","48,785","17.9%","82,418","19.2%","11,757","13.1%","17,144","18.9%","7,013","16.3%","14,084","12.6%","7,613","15.2%","37,617","14.7%","6,238","16.2%","4,805","17.6%","62","12.3%","931","14.9%","13,791","20.1%","13,691","17.7%","12,412","18.0%","1,989","16.4%","1,657","16.7%","221","12.8%","7,982","14.7%","1,581","16.9%","24,406","19.4%","5,872","22.3%","1,411","13.6%"
"        4.0 or more","138,855","61.8%","100","70.9%","2,827","45.2%","11,062","36.2%","3,612","43.3%","975","34.9%","104,944","55.0%","1,190","38.1%","17,982","47.7%","32,705","29.1%","1,315","38.5%","9,104","51.4%","4,565","26.9%","924","38.0%","28,674","26.4%","3,589","23.4%","3,303","38.0%","675","19.1%","675,415","61.7%","6,584","34.8%","33,270","69.1%","1,188","45.8%","6,126","56.1%","9,412","34.0%","421","32.1%","809","44.4%","24,456","56.5%","12,700","61.6%","10,976","57.2%","268,802","63.6%","32,324","44.6%","1,329","38.2%","145,333","43.2%","80,591","37.1%","4,966","57.7%","115,374","42.4%","244,766","56.9%","63,974","71.4%","33,302","36.7%","26,503","61.7%","83,898","75.2%","30,017","59.8%","178,150","69.6%","24,719","64.3%","9,305","34.0%","197","39.1%","2,203","35.2%","27,439","40.1%","47,731","61.6%","24,066","34.8%","3,868","32.0%","3,969","39.9%","892","51.8%","16,833","31.0%","3,816","40.9%","72,506","57.7%","10,435","39.7%","3,155","30.4%"
"        Not computed","739","0.3%","0","0.0%","48","0.8%","152","0.5%","50","0.6%","13","0.5%","693","0.4%","0","0.0%","208","0.6%","503","0.4%","43","1.3%","222","1.3%","202","1.2%","31","1.3%","765","0.7%","46","0.3%","167","1.9%","0","0.0%","6,431","0.6%","127","0.7%","145","0.3%","0","0.0%","8","0.1%","204","0.7%","16","1.2%","0","0.0%","209","0.5%","23","0.1%","53","0.3%","1,999","0.5%","523","0.7%","25","0.7%","3,255","1.0%","1,069","0.5%","7","0.1%","1,598","0.6%","2,801","0.7%","421","0.5%","456","0.5%","243","0.6%","470","0.4%","179","0.4%","892","0.3%","131","0.3%","180","0.7%","0","0.0%","29","0.5%","277","0.4%","324","0.4%","277","0.4%","45","0.4%","52","0.5%","18","1.0%","309","0.6%","79","0.8%","610","0.5%","128","0.5%","58","0.6%"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","185","0.1%","0","0.0%","0","0.0%","50","0.2%","0","0.0%","0","0.0%","93","0.0%","0","0.0%","65","0.2%","55","0.0%","0","0.0%","13","0.1%","0","0.0%","0","0.0%","34","0.0%","0","0.0%","0","0.0%","0","0.0%","305","0.0%","10","0.1%","25","0.1%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","34","0.1%","36","0.2%","6","0.0%","160","0.0%","40","0.1%","0","0.0%","150","0.0%","137","0.1%","12","0.1%","65","0.0%","103","0.0%","34","0.0%","145","0.2%","79","0.2%","0","0.0%","25","0.0%","50","0.0%","13","0.0%","8","0.0%","0","0.0%","0","0.0%","34","0.0%","24","0.0%","26","0.0%","0","0.0%","0","0.0%","0","0.0%","27","0.0%","0","0.0%","28","0.0%","28","0.1%","9","0.1%"
"        $200 to $399","340","0.2%","0","0.0%","24","0.4%","149","0.5%","20","0.2%","29","1.0%","218","0.1%","37","1.2%","123","0.3%","523","0.5%","30","0.9%","176","1.0%","33","0.2%","36","1.5%","416","0.4%","30","0.2%","87","1.0%","5","0.1%","1,951","0.2%","112","0.6%","46","0.1%","0","0.0%","29","0.3%","78","0.3%","37","2.8%","0","0.0%","82","0.2%","55","0.3%","29","0.2%","834","0.2%","145","0.2%","22","0.6%","972","0.3%","537","0.2%","22","0.3%","817","0.3%","973","0.2%","182","0.2%","482","0.5%","247","0.6%","168","0.2%","148","0.3%","314","0.1%","67","0.2%","121","0.4%","0","0.0%","61","1.0%","139","0.2%","163","0.2%","107","0.2%","21","0.2%","49","0.5%","14","0.8%","244","0.4%","1","0.0%","244","0.2%","78","0.3%","11","0.1%"
"        $400 to $599","1,110","0.5%","3","2.1%","115","1.8%","752","2.5%","109","1.3%","46","1.6%","956","0.5%","216","6.9%","326","0.9%","1,963","1.7%","56","1.6%","205","1.2%","254","1.5%","94","3.9%","2,006","1.8%","259","1.7%","174","2.0%","108","3.1%","6,331","0.6%","207","1.1%","90","0.2%","67","2.6%","152","1.4%","464","1.7%","63","4.8%","30","1.6%","272","0.6%","96","0.5%","145","0.8%","2,841","0.7%","408","0.6%","118","3.4%","3,142","0.9%","1,782","0.8%","48","0.6%","3,715","1.4%","2,654","0.6%","371","0.4%","1,192","1.3%","339","0.8%","499","0.4%","633","1.3%","936","0.4%","271","0.7%","567","2.1%","2","0.4%","305","4.9%","509","0.7%","544","0.7%","851","1.2%","190","1.6%","484","4.9%","145","8.4%","990","1.8%","195","2.1%","824","0.7%","184","0.7%","127","1.2%"
"        $600 to $799","1,758","0.8%","0","0.0%","213","3.4%","1,725","5.6%","264","3.2%","141","5.1%","1,904","1.0%","368","11.8%","620","1.6%","4,634","4.1%","154","4.5%","547","3.1%","736","4.3%","64","2.6%","6,200","5.7%","916","6.0%","507","5.8%","235","6.7%","13,891","1.3%","859","4.5%","261","0.5%","16","0.6%","303","2.8%","1,407","5.1%","195","14.9%","19","1.0%","635","1.5%","262","1.3%","501","2.6%","4,704","1.1%","982","1.4%","202","5.8%","8,258","2.5%","5,073","2.3%","78","0.9%","9,306","3.4%","4,997","1.2%","594","0.7%","1,991","2.2%","789","1.8%","747","0.7%","724","1.4%","1,893","0.7%","339","0.9%","1,258","4.6%","15","3.0%","466","7.4%","1,143","1.7%","1,052","1.4%","2,256","3.3%","487","4.0%","964","9.7%","46","2.7%","4,443","8.2%","295","3.2%","1,293","1.0%","473","1.8%","436","4.2%"
"        $800 to $999","3,085","1.4%","6","4.3%","455","7.3%","2,907","9.5%","339","4.1%","227","8.1%","3,480","1.8%","256","8.2%","1,258","3.3%","9,910","8.8%","412","12.1%","1,221","6.9%","2,168","12.8%","90","3.7%","10,888","10.0%","1,948","12.7%","1,051","12.1%","487","13.8%","24,231","2.2%","1,799","9.5%","452","0.9%","212","8.2%","576","5.3%","3,269","11.8%","280","21.4%","53","2.9%","1,306","3.0%","505","2.5%","749","3.9%","7,143","1.7%","1,995","2.8%","260","7.5%","14,781","4.4%","9,532","4.4%","84","1.0%","16,577","6.1%","8,875","2.1%","810","0.9%","5,016","5.5%","1,289","3.0%","1,476","1.3%","1,408","2.8%","2,573","1.0%","702","1.8%","2,320","8.5%","65","12.9%","840","13.4%","1,821","2.7%","1,512","2.0%","4,419","6.4%","669","5.5%","1,181","11.9%","249","14.5%","6,908","12.7%","403","4.3%","1,833","1.5%","794","3.0%","862","8.3%"
"        $1,000 to $1,499","15,800","7.0%","47","33.3%","1,599","25.6%","8,583","28.1%","1,747","20.9%","780","28.0%","18,530","9.7%","921","29.5%","5,110","13.6%","34,504","30.7%","1,223","35.8%","4,597","26.0%","6,197","36.5%","497","20.5%","35,553","32.7%","5,381","35.1%","2,394","27.6%","1,098","31.1%","123,548","11.3%","6,588","34.8%","2,383","5.0%","842","32.5%","2,532","23.2%","9,751","35.2%","439","33.5%","418","22.9%","6,655","15.4%","2,038","9.9%","3,222","16.8%","33,314","7.9%","8,730","12.0%","1,082","31.1%","67,933","20.2%","48,044","22.1%","894","10.4%","67,030","24.6%","44,938","10.5%","3,888","4.3%","20,217","22.3%","5,492","12.8%","5,160","4.6%","6,567","13.1%","12,809","5.0%","3,069","8.0%","8,450","30.9%","255","50.6%","2,294","36.7%","11,440","16.7%","9,132","11.8%","20,323","29.4%","3,465","28.6%","3,449","34.7%","520","30.2%","19,165","35.3%","2,740","29.4%","12,087","9.6%","4,403","16.7%","2,930","28.2%"
"        $1,500 to $1,999","28,797","12.8%","21","14.9%","1,836","29.4%","7,492","24.5%","2,512","30.1%","841","30.1%","30,141","15.8%","643","20.6%","7,645","20.3%","27,545","24.5%","787","23.0%","5,344","30.2%","4,494","26.5%","685","28.2%","26,967","24.8%","3,739","24.4%","2,249","25.9%","920","26.1%","205,023","18.7%","5,075","26.8%","3,920","8.1%","654","25.2%","2,728","25.0%","6,348","22.9%","192","14.7%","451","24.7%","9,546","22.0%","3,263","15.8%","4,690","24.4%","60,240","14.3%","14,984","20.7%","876","25.2%","85,025","25.3%","59,957","27.6%","1,567","18.2%","68,661","25.2%","72,855","17.0%","7,502","8.4%","23,972","26.4%","8,436","19.7%","9,611","8.6%","10,705","21.3%","23,222","9.1%","4,917","12.8%","7,374","27.0%","45","8.9%","1,294","20.7%","17,015","24.8%","15,323","19.8%","20,689","29.9%","3,494","28.9%","1,843","18.5%","436","25.3%","12,455","22.9%","2,555","27.4%","21,660","17.2%","5,331","20.3%","3,567","34.4%"
"        $2,000 to $2,499","38,160","17.0%","10","7.1%","1,097","17.5%","4,530","14.8%","1,558","18.7%","346","12.4%","31,983","16.8%","362","11.6%","7,425","19.7%","17,351","15.4%","422","12.3%","2,833","16.0%","2,203","13.0%","483","19.9%","15,090","13.9%","1,867","12.2%","1,110","12.8%","376","10.7%","205,967","18.8%","2,525","13.3%","5,082","10.6%","422","16.3%","2,383","21.8%","3,633","13.1%","46","3.5%","486","26.6%","8,440","19.5%","3,885","18.9%","4,018","20.9%","73,736","17.4%","14,994","20.7%","415","11.9%","65,893","19.6%","43,007","19.8%","2,114","24.6%","48,058","17.7%","83,115","19.3%","9,996","11.2%","16,801","18.5%","9,149","21.3%","13,277","11.9%","8,052","16.0%","33,407","13.1%","6,585","17.1%","3,883","14.2%","11","2.2%","581","9.3%","14,817","21.6%","16,469","21.3%","11,670","16.9%","2,048","16.9%","1,060","10.7%","69","4.0%","5,210","9.6%","1,370","14.7%","25,044","19.9%","6,000","22.8%","1,531","14.7%"
"        $2,500 to $2,999","37,850","16.8%","6","4.3%","580","9.3%","2,113","6.9%","981","11.8%","172","6.2%","28,360","14.9%","176","5.6%","5,237","13.9%","8,034","7.2%","75","2.2%","1,413","8.0%","543","3.2%","264","10.9%","5,883","5.4%","732","4.8%","668","7.7%","186","5.3%","167,571","15.3%","805","4.3%","6,023","12.5%","198","7.6%","988","9.0%","1,401","5.1%","52","4.0%","214","11.7%","5,042","11.6%","3,075","14.9%","2,338","12.2%","70,414","16.7%","12,808","17.7%","250","7.2%","45,726","13.6%","23,871","11.0%","1,257","14.6%","29,209","10.7%","73,479","17.1%","11,405","12.7%","10,669","11.8%","6,922","16.1%","14,925","13.4%","6,278","12.5%","36,949","14.4%","6,641","17.3%","1,708","6.2%","78","15.5%","246","3.9%","10,492","15.3%","12,840","16.6%","4,683","6.8%","927","7.7%","475","4.8%","129","7.5%","2,480","4.6%","896","9.6%","22,843","18.2%","4,147","15.8%","579","5.6%"
"        $3,000 or more","97,758","43.5%","48","34.0%","336","5.4%","2,252","7.4%","811","9.7%","208","7.5%","74,972","39.3%","143","4.6%","9,869","26.2%","7,815","7.0%","260","7.6%","1,365","7.7%","358","2.1%","217","8.9%","5,758","5.3%","459","3.0%","441","5.1%","111","3.1%","345,238","31.6%","934","4.9%","29,831","62.0%","183","7.1%","1,228","11.2%","1,356","4.9%","6","0.5%","153","8.4%","11,299","26.1%","7,390","35.9%","3,500","18.2%","169,321","40.1%","17,377","24.0%","255","7.3%","44,368","13.2%","25,088","11.6%","2,528","29.4%","28,548","10.5%","137,803","32.1%","54,844","61.2%","10,151","11.2%","10,182","23.7%","65,731","58.9%","15,653","31.2%","143,663","56.2%","15,834","41.2%","1,652","6.0%","33","6.5%","169","2.7%","11,062","16.2%","20,435","26.4%","4,080","5.9%","804","6.6%","439","4.4%","115","6.7%","2,434","4.5%","873","9.4%","39,873","31.7%","4,862","18.5%","329","3.2%"
